Name,Men,Women,Value,Year,Rank,Ylist
Poland,252,38,290,1972,5,
Great Britain,210,74,284,1972,6,
Hungary,187,45,232,1972,7,
France,197,30,227,1972,8,
Italy,197,27,224,1972,9,
Canada,158,50,208,1972,10,
Japan,148,36,184,1972,11,
Czechoslovakia,145,36,181,1972,12,
Mexico,152,22,174,1972,13,
Australia,139,29,168,1972,14,
Romania,132,27,159,1972,15,
Switzerland,122,29,151,1972,16,
Cuba,109,28,137,1972,17,
Sweden,104,27,131,1972,18,
Bulgaria,106,24,130,1972,19,
Yugoslavia,113,13,126,1972,20,
Denmark,114,12,126,1972,21,
Spain,118,5,123,1972,22,
Netherlands,90,29,119,1972,23,
Norway,101,11,112,1972,24,
Austria,97,14,111,1972,25,
Finland,89,7,96,1972,26,
Argentina,88,4,92,1972,27,
New Zealand,82,7,89,1972,28,
Belgium,82,6,88,1972,29,
Brazil,78,3,81,1972,30,
Greece,58,2,60,1972,31,
Colombia,55,4,59,1972,32,
Ireland,51,8,59,1972,33,
Kenya,55,2,57,1972,34,
Puerto Rico,53,0,53,1972,35,
Philippines,48,5,53,1972,36,
Iran,48,0,48,1972,37,
Malaysia,42,3,45,1972,38,
Turkey,42,1,43,1972,39,
Republic of Korea,32,10,42,1972,40,
India,40,1,41,1972,41,
Mongolia,37,2,39,1972,42,
Senegal,38,0,38,1972,43,
Democratic People's Republic of Korea,23,14,37,1972,44,
Ghana,33,2,35,1972,45,
Tunisia,35,0,35,1972,46,
Morocco,33,2,35,1972,47,
Jamaica,21,12,33,1972,48,
Thailand,33,0,33,1972,49,
Uganda,31,2,33,1972,50,
Ethiopia,31,0,31,1972,51,
Portugal,29,0,29,1972,52,
Sudan,26,0,26,1972,53,
Iceland,24,1,25,1972,54,
Nigeria,20,5,25,1972,55,
Pakistan,25,0,25,1972,56,
Egypt,23,0,23,1972,57,
Venezuela,20,3,23,1972,58,
Republic of China,15,6,21,1972,59,
The Bahamas,19,1,20,1972,60,
Peru,17,3,20,1972,61,
Trinidad and Tobago,18,1,19,1972,62,
Lebanon,17,2,19,1972,63,
Burma,18,0,18,1972,64,
United States Virgin Islands,16,0,16,1972,65,
Malawi,13,3,16,1972,66,
United Republic of Tanzania,15,0,15,1972,67,
Israel,12,2,14,1972,68,
Uruguay,10,3,13,1972,69,
Barbados,8,5,13,1972,70,
Zambia,8,3,11,1972,71,
Madagascar,11,0,11,1972,72,
Luxembourg,10,1,11,1972,73,
Bolivia,11,0,11,1972,74,
Cameroon,11,0,11,1972,75,
Chile,9,2,11,1972,76,
El Salvador,11,0,11,1972,77,
Côte d'Ivoire,11,0,11,1972,78,
Kingdom of Saudi Arabia,10,0,10,1972,79,
Hong Kong,10,0,10,1972,80,
Bermuda,9,0,9,1972,81,
Cambodia,8,1,9,1972,82,
Afghanistan,8,0,8,1972,83,
Guatemala,8,0,8,1972,84,
Nicaragua,7,1,8,1972,85,
San Marino,7,0,7,1972,86,
Haiti,6,1,7,1972,87,
Singapore,5,2,7,1972,88,
Togo,7,0,7,1972,89,
Panama,7,0,7,1972,90,
Indonesia,3,3,6,1972,91,
Liechtenstein,6,0,6,1972,92,
Congo,6,0,6,1972,93,
Syrian Arab Republic,4,1,5,1972,94,
Algeria,5,0,5,1972,95,
Dominican Republic,5,0,5,1972,96,
Monaco,5,0,5,1972,97,
Albania,4,1,5,1972,98,
Malta,5,0,5,1972,99,
Liberia,5,0,5,1972,100,
Sri Lanka,4,0,4,1972,101,
Niger,4,0,4,1972,102,
Chad,4,0,4,1972,103,
Kuwait,4,0,4,1972,104,
Paraguay,3,0,3,1972,105,
Mali,3,0,3,1972,106,
Dahomey,3,0,3,1972,107,
Somalia,3,0,3,1972,108,
Costa Rica,3,0,3,1972,109,
Guyana,3,0,3,1972,110,
Fiji,2,0,2,1972,111,
Ecuador,2,0,2,1972,112,
Netherlands Antilles,2,0,2,1972,113,
Nepal,2,0,2,1972,114,
Suriname,2,0,2,1972,115,
Eswatini,2,0,2,1972,116,
South Vietnam,1,1,2,1972,117,
Lesotho,1,0,1,1972,118,
Gabon,1,0,1,1972,119,
Upper Volta,1,0,1,1972,120,
British Honduras,1,0,1,1972,121,
Soviet Union,285,125,410,1976,1,
United States,278,118,396,1976,2,
Canada,261,124,385,1976,3,
West Germany,233,57,290,1976,4,
East Germany,154,113,267,1976,5,
Great Britain,176,66,242,1976,6,
Japan,153,60,213,1976,7,
Italy,183,27,210,1976,8,
Poland,180,27,207,1976,9,
France,177,29,206,1976,10,
Australia,146,34,180,1976,11,
Hungary,124,54,178,1976,12,
Czechoslovakia,125,38,163,1976,13,
Bulgaria,105,53,158,1976,14,
Romania,103,54,157,1976,15,
Cuba,132,24,156,1976,16,
Sweden,99,17,116,1976,17,
Spain,103,10,113,1976,18,
Netherlands,72,36,108,1976,19,
Belgium,75,26,101,1976,20,
Mexico,92,5,97,1976,21,
Yugoslavia,83,5,88,1976,22,
Iran,80,4,84,1976,23,
Finland,77,6,83,1976,24,
New Zealand,71,9,80,1976,25,
Puerto Rico,73,7,80,1976,26,
Brazil,72,7,79,1976,27,
Argentina,65,4,69,1976,28,
Norway,60,6,66,1976,29,
Denmark,56,10,66,1976,30,
Austria,54,6,60,1976,31,
Republic of Korea,38,12,50,1976,32,
Switzerland,47,3,50,1976,33,
Ireland,41,3,44,1976,34,
Thailand,39,3,42,1976,35,
Democratic People's Republic of Korea,36,2,38,1976,36,
Greece,34,2,36,1976,37,
Colombia,32,3,35,1976,38,
Mongolia,30,2,32,1976,39,
Venezuela,23,9,32,1976,40,
Guatemala,26,2,28,1976,41,
Turkey,26,1,27,1976,42,
Israel,24,2,26,1976,43,
Egypt,26,0,26,1976,44,
India,26,0,26,1976,45,
Hong Kong,23,2,25,1976,46,
Pakistan,24,0,24,1976,47,
Malaysia,23,0,23,1976,48,
Senegal,19,2,21,1976,49,
United States Virgin Islands,19,2,21,1976,50,
Jamaica,11,9,20,1976,51,
Portugal,19,0,19,1976,52,
Bermuda,15,1,16,1976,53,
Kuwait,15,0,15,1976,54,
Nicaragua,15,0,15,1976,55,
Tunisia,14,1,15,1976,56,
Philippines,13,1,14,1976,57,
Kingdom of Saudi Arabia,14,0,14,1976,58,
Haiti,10,3,13,1976,59,
Peru,0,13,13,1976,60,
Trinidad and Tobago,13,0,13,1976,61,
Iceland,9,4,13,1976,62,
The Bahamas,10,1,11,1976,63,
Barbados,9,2,11,1976,64,
Dominican Republic,9,1,10,1976,65,
Antigua and Barbuda,10,0,10,1976,66,
San Marino,8,2,10,1976,67,
Morocco,9,0,9,1976,68,
Uruguay,7,2,9,1976,69,
Monaco,8,0,8,1976,70,
Luxembourg,8,0,8,1976,71,
Panama,7,1,8,1976,72,
Côte d'Ivoire,7,1,8,1976,73,
Chile,7,0,7,1976,74,
Indonesia,5,2,7,1976,75,
Liechtenstein,4,2,6,1976,76,
Papua New Guinea,6,0,6,1976,77,
Ecuador,5,0,5,1976,78,
Costa Rica,4,1,5,1976,79,
Bolivia,4,0,4,1976,80,
Cameroon,4,0,4,1976,81,
British Honduras,4,0,4,1976,82,
Netherlands Antilles,4,0,4,1976,83,
Singapore,3,1,4,1976,84,
Paraguay,4,0,4,1976,85,
Suriname,3,0,3,1976,86,
Honduras,3,0,3,1976,87,
Lebanon,3,0,3,1976,88,
Andorra,3,0,3,1976,89,
Cayman Islands,2,0,2,1976,90,
Fiji,1,1,2,1976,91,
Nepal,1,0,1,1976,92,
Soviet Union,340,149,489,1980,1,
East Germany,222,124,346,1980,2,
Poland,232,74,306,1980,3,
Bulgaria,183,88,271,1980,4,
Hungary,182,81,263,1980,5,
Romania,156,70,226,1980,6,
Great Britain,149,70,219,1980,7,
Czechoslovakia,162,47,209,1980,8,
Cuba,175,33,208,1980,9,
Yugoslavia,136,28,164,1980,10,
Italy,121,38,159,1980,11,
Spain,146,9,155,1980,12,
Sweden,122,23,145,1980,13,
France,98,23,121,1980,14,
Australia,92,28,120,1980,15,
Brazil,91,15,106,1980,16,
Finland,99,6,105,1980,17,
Austria,64,19,83,1980,18,
Netherlands,57,18,75,1980,19,
Switzerland,67,6,73,1980,20,
India,56,16,72,1980,21,
Syrian Arab Republic,65,2,67,1980,22,
Belgium,43,16,59,1980,23,
Denmark,55,3,58,1980,24,
Kuwait,56,0,56,1980,25,
Algeria,54,0,54,1980,26,
Ireland,44,3,47,1980,27,
Democratic People's Republic of Korea,39,8,47,1980,28,
Mexico,36,9,45,1980,29,
Nigeria,38,6,44,1980,30,
Iraq,43,0,43,1980,31,
Mongolia,39,4,43,1980,32,
Zimbabwe,23,19,42,1980,33,
Greece,38,3,41,1980,34,
United Republic of Tanzania,36,5,41,1980,35,
Ethiopia,39,2,41,1980,36,
Venezuela,37,0,37,1980,37,
Zambia,37,0,37,1980,38,
Senegal,30,2,32,1980,39,
Vietnam,22,8,30,1980,40,
Costa Rica,28,1,29,1980,41,
Libya,27,2,29,1980,42,
Peru,14,14,28,1980,43,
Cameroon,22,3,25,1980,44,
Congo,9,14,23,1980,45,
Colombia,23,0,23,1980,46,
Lao People's Democratic Republic,17,2,19,1980,47,
Jamaica,11,7,18,1980,48,
San Marino,16,0,16,1980,49,
Benin,15,1,16,1980,50,
Lebanon,15,0,15,1980,51,
Mozambique,12,2,14,1980,52,
Cyprus,12,2,14,1980,53,
Sierra Leone,12,2,14,1980,54,
Uganda,13,0,13,1980,55,
Ecuador,11,1,12,1980,56,
Afghanistan,11,0,11,1980,57,
Portugal,10,1,11,1980,58,
Seychelles,9,2,11,1980,59,
Angola,10,1,11,1980,60,
Madagascar,8,3,11,1980,61,
Nepal,10,0,10,1980,62,
Guatemala,10,0,10,1980,63,
Guinea,9,0,9,1980,64,
Trinidad and Tobago,9,0,9,1980,65,
Iceland,9,0,9,1980,66,
Guyana,7,1,8,1980,67,
Malta,7,1,8,1980,68,
Mali,6,1,7,1980,69,
Botswana,7,0,7,1980,70,
Dominican Republic,5,1,6,1980,71,
Lesotho,5,0,5,1980,72,
Nicaragua,3,2,5,1980,73,
Sri Lanka,4,0,4,1980,74,
Jordan,4,0,4,1980,75,
New Zealand,4,0,4,1980,76,
Puerto Rico,3,0,3,1980,77,
Luxembourg,3,0,3,1980,78,
Burma,2,0,2,1980,79,
Andorra,2,0,2,1980,80,
United States,339,183,522,1984,1,
Canada,257,151,408,1984,2,
West Germany,267,123,390,1984,3,
Great Britain,229,108,337,1984,4,
Italy,222,46,268,1984,5,
Australia,169,73,242,1984,6,
France,189,49,238,1984,7,
Japan,174,52,226,1984,8,
People's Republic of China,132,83,215,1984,9,
Spain,163,16,179,1984,10,
Republic of Korea,116,59,175,1984,11,
Sweden,131,43,174,1984,12,
Brazil,126,21,147,1984,13,
Yugoslavia,105,34,139,1984,14,
Netherlands,82,54,136,1984,15,
New Zealand,98,32,130,1984,16,
Switzerland,102,27,129,1984,17,
Romania,71,53,124,1984,18,
Egypt,108,6,114,1984,19,
Norway,84,19,103,1984,20,
Austria,71,31,102,1984,21,
Mexico,77,22,99,1984,22,
Finland,73,13,86,1984,23,
Argentina,71,10,81,1984,24,
Greece,59,4,63,1984,25,
Belgium,47,16,63,1984,26,
Kenya,56,5,61,1984,27,
Denmark,49,11,60,1984,28,
Chile,50,2,52,1984,29,
Puerto Rico,43,8,51,1984,30,
India,42,6,48,1984,31,
Hong Kong,36,11,47,1984,32,
Turkey,45,1,46,1984,33,
Cameroon,42,4,46,1984,34,
Jamaica,31,14,45,1984,35,
Ireland,28,14,42,1984,36,
Colombia,36,3,39,1984,37,
Portugal,29,9,38,1984,38,
Chinese Taipei,31,7,38,1984,39,
Kingdom of Saudi Arabia,37,0,37,1984,40,
Thailand,25,10,35,1984,41,
Peru,19,16,35,1984,42,
Morocco,33,1,34,1984,43,
Algeria,33,0,33,1984,44,
Nigeria,30,2,32,1984,45,
Israel,24,8,32,1984,46,
Pakistan,31,0,31,1984,47,
Iceland,27,3,30,1984,48,
United States Virgin Islands,26,3,29,1984,49,
Costa Rica,27,1,28,1984,50,
Venezuela,25,1,26,1984,51,
Uganda,24,2,26,1984,52,
Guatemala,20,4,24,1984,53,
Qatar,24,0,24,1984,54,
Senegal,23,1,24,1984,55,
Iraq,23,0,23,1984,56,
Kuwait,23,0,23,1984,57,
Tunisia,22,1,23,1984,58,
The Bahamas,17,5,22,1984,59,
Lebanon,21,1,22,1984,60,
Ghana,14,7,21,1984,61,
Malaysia,20,1,21,1984,62,
Philippines,15,4,19,1984,63,
San Marino,18,1,19,1984,64,
Dominican Republic,15,4,19,1984,65,
United Republic of Tanzania,16,2,18,1984,66,
Uruguay,17,1,18,1984,67,
Zambia,16,0,16,1984,68,
Trinidad and Tobago,11,5,16,1984,69,
Oman,16,0,16,1984,70,
Indonesia,13,3,16,1984,71,
Barbados,13,3,16,1984,72,
Zimbabwe,12,3,15,1984,73,
Malawi,15,0,15,1984,74,
Côte d'Ivoire,14,1,15,1984,75,
Antigua and Barbuda,10,4,14,1984,76,
Paraguay,14,0,14,1984,77,
Fiji,11,3,14,1984,78,
Jordan,12,1,13,1984,79,
Bermuda,11,1,12,1984,80,
Belize,11,0,11,1984,81,
Bolivia,10,1,11,1984,82,
Ecuador,10,1,11,1984,83,
El Salvador,9,1,10,1984,84,
Honduras,7,3,10,1984,85,
Cyprus,10,0,10,1984,86,
Guyana,8,2,10,1984,87,
The Gambia,6,4,10,1984,88,
Nepal,10,0,10,1984,89,
Bahrain,10,0,10,1984,90,
Syrian Arab Republic,9,0,9,1984,91,
Seychelles,8,1,9,1984,92,
Mozambique,8,1,9,1984,93,
British Virgin Islands,9,0,9,1984,94,
Congo,8,1,9,1984,95,
Zaire,7,1,8,1984,96,
Cayman Islands,7,1,8,1984,97,
Swaziland,8,0,8,1984,98,
Western Samoa,8,0,8,1984,99,
Netherlands Antilles,3,5,8,1984,100,
Panama,7,1,8,1984,101,
Monaco,8,0,8,1984,102,
Botswana,7,0,7,1984,103,
Tonga,7,0,7,1984,104,
Liberia,6,1,7,1984,105,
Somalia,7,0,7,1984,106,
Liechtenstein,5,2,7,1984,107,
Sierra Leone,6,1,7,1984,108,
Sudan,7,0,7,1984,109,
United Arab Emirates,7,0,7,1984,110,
Papua New Guinea,4,3,7,1984,111,
Malta,5,2,7,1984,112,
Togo,6,0,6,1984,113,
Bhutan,3,3,6,1984,114,
Grenada,5,1,6,1984,115,
Suriname,5,0,5,1984,116,
Madagascar,5,0,5,1984,117,
Nicaragua,5,0,5,1984,118,
Luxembourg,4,1,5,1984,119,
Singapore,5,0,5,1984,120,
Mauritius,3,1,4,1984,121,
Equatorial Guinea,4,0,4,1984,122,
Mali,4,0,4,1984,123,
Gabon,2,2,4,1984,124,
Niger,4,0,4,1984,125,
Lesotho,4,0,4,1984,126,
Sri Lanka,4,0,4,1984,127,
Central African Republic,3,0,3,1984,128,
Solomon Islands,3,0,3,1984,129,
Haiti,1,2,3,1984,130,
Chad,3,0,3,1984,131,
Rwanda,2,1,3,1984,132,
Benin,3,0,3,1984,133,
Djibouti,3,0,3,1984,134,
North Yemen,2,0,2,1984,135,
Andorra,2,0,2,1984,136,
Mauritania,2,0,2,1984,137,
Burma,1,0,1,1984,138,
Bangladesh,1,0,1,1984,139,
Guinea,1,0,1,1984,140,
United States,332,195,527,1988,1,
Soviet Union,319,162,481,1988,2,
Republic of Korea,269,132,401,1988,3,
West Germany,244,103,347,1988,4,
Great Britain,219,126,345,1988,5,
Canada,223,105,328,1988,6,
People's Republic of China,149,124,273,1988,7,
France,192,74,266,1988,8,
East Germany,157,102,259,1988,9,
Japan,186,69,255,1988,10,
Italy,212,41,253,1988,11,
Australia,180,72,252,1988,12,
Spain,200,29,229,1988,13,
Hungary,152,36,188,1988,14,
Sweden,148,37,185,1988,15,
Bulgaria,104,68,172,1988,16,
Czechoslovakia,110,53,163,1988,17,
Brazil,127,33,160,1988,18,
Yugoslavia,117,38,155,1988,19,
Netherlands,93,54,147,1988,20,
Poland,111,32,143,1988,21,
Argentina,93,25,118,1988,22,
Switzerland,72,27,99,1988,23,
New Zealand,67,16,83,1988,24,
Mexico,66,17,83,1988,25,
Denmark,57,21,78,1988,26,
Finland,59,19,78,1988,27,
Kenya,70,4,74,1988,28,
Austria,66,7,73,1988,29,
Nigeria,61,8,69,1988,30,
Norway,44,25,69,1988,31,
Romania,32,36,68,1988,32,
Portugal,55,10,65,1988,33,
Chinese Taipei,43,18,61,1988,34,
Ireland,52,9,61,1988,35,
Belgium,35,24,59,1988,36,
Greece,44,12,56,1988,37,
Egypt,48,1,49,1988,38,
Hong Kong,38,10,48,1988,39,
Puerto Rico,44,3,47,1988,40,
India,39,7,46,1988,41,
Algeria,40,2,42,1988,42,
Tunisia,39,2,41,1988,43,
Turkey,36,5,41,1988,44,
Colombia,34,6,40,1988,45,
Jamaica,24,11,35,1988,46,
Iceland,28,4,32,1988,47,
Philippines,26,5,31,1988,48,
Pakistan,30,0,30,1988,49,
Zimbabwe,23,6,29,1988,50,
Zambia,29,0,29,1988,51,
Indonesia,23,6,29,1988,52,
Guatemala,25,3,28,1988,53,
Mongolia,24,4,28,1988,54,
Côte d'Ivoire,11,17,28,1988,55,
Morocco,24,3,27,1988,56,
Iraq,27,0,27,1988,57,
Kuwait,25,0,25,1988,58,
Angola,19,5,24,1988,59,
Uganda,20,4,24,1988,60,
Islamic Republic of Iran,23,0,23,1988,61,
Fiji,19,4,23,1988,62,
Senegal,22,1,23,1988,63,
United States Virgin Islands,19,3,22,1988,64,
Peru,7,14,21,1988,65,
Lebanon,19,2,21,1988,66,
Guam,14,5,19,1988,67,
Israel,14,4,18,1988,68,
Chile,16,1,17,1988,69,
Venezuela,15,2,17,1988,70,
Barbados,16,1,17,1988,71,
Costa Rica,9,7,16,1988,72,
Malawi,16,0,16,1988,73,
Nepal,13,3,16,1988,74,
The Bahamas,12,4,16,1988,75,
Dominican Republic,15,1,16,1988,76,
Ghana,10,6,16,1988,77,
Antigua and Barbuda,12,3,15,1988,78,
Uruguay,14,1,15,1988,79,
Zaire,13,2,15,1988,80,
Central African Republic,15,0,15,1988,81,
Cameroon,13,2,15,1988,82,
Thailand,12,2,14,1988,83,
Ecuador,10,3,13,1988,84,
Syrian Arab Republic,13,0,13,1988,85,
Liechtenstein,9,3,12,1988,86,
United Arab Emirates,12,0,12,1988,87,
Bermuda,11,1,12,1988,88,
Sierra Leone,11,1,12,1988,89,
Papua New Guinea,9,2,11,1988,90,
Swaziland,11,0,11,1988,91,
Western Samoa,11,0,11,1988,92,
San Marino,11,0,11,1988,93,
Qatar,10,0,10,1988,94,
Paraguay,10,0,10,1988,95,
Belize,10,0,10,1988,96,
United Republic of Tanzania,10,0,10,1988,97,
Monaco,8,1,9,1988,98,
Kingdom of Saudi Arabia,9,0,9,1988,99,
Cyprus,7,2,9,1988,100,
Vietnam,8,1,9,1988,101,
Malaysia,5,4,9,1988,102,
Botswana,8,0,8,1988,103,
Singapore,7,1,8,1988,104,
Sudan,8,0,8,1988,105,
Cayman Islands,7,1,8,1988,106,
Aruba,4,4,8,1988,107,
Honduras,7,1,8,1988,108,
Oman,8,0,8,1988,109,
Mozambique,6,2,8,1988,110,
Liberia,7,1,8,1988,111,
Guyana,7,1,8,1988,112,
North Yemen,8,0,8,1988,113,
Luxembourg,5,3,8,1988,114,
Mauritius,6,2,8,1988,115,
Cook Islands,6,1,7,1988,116,
Bahrain,7,0,7,1988,117,
Bolivia,6,1,7,1988,118,
Jordan,5,2,7,1988,119,
Maldives,7,0,7,1988,120,
Benin,6,1,7,1988,121,
Congo,5,2,7,1988,122,
Libya,6,0,6,1988,123,
The Gambia,5,1,6,1988,124,
Togo,6,0,6,1988,125,
Panama,6,0,6,1988,126,
Trinidad and Tobago,4,2,6,1988,127,
Mali,5,1,6,1988,128,
Bangladesh,6,0,6,1988,129,
Equatorial Guinea,4,2,6,1988,130,
Grenada,4,2,6,1988,131,
Guinea,6,0,6,1988,132,
American Samoa,6,0,6,1988,133,
Lesotho,6,0,6,1988,134,
Malta,5,1,6,1988,135,
Suriname,4,2,6,1988,136,
Saint Vincent and the Grenadines,5,1,6,1988,137,
Chad,6,0,6,1988,138,
Niger,6,0,6,1988,139,
Djibouti,6,0,6,1988,140,
Burkina Faso,5,1,6,1988,141,
Mauritania,6,0,6,1988,142,
Sri Lanka,4,2,6,1988,143,
El Salvador,5,1,6,1988,144,
Rwanda,3,3,6,1988,145,
Afghanistan,5,0,5,1988,146,
Tonga,4,1,5,1988,147,
Somalia,5,0,5,1988,148,
South Yemen,5,0,5,1988,149,
Solomon Islands,4,0,4,1988,150,
Vanuatu,3,1,4,1988,151,
Haiti,3,1,4,1988,152,
Lao People's Democratic Republic,2,1,3,1988,153,
Netherlands Antilles,2,1,3,1988,154,
Bhutan,3,0,3,1988,155,
Andorra,3,0,3,1988,156,
British Virgin Islands,3,0,3,1988,157,
Burma,0,2,2,1988,158,
Gabon,1,1,2,1988,159,
United States,355,190,545,1992,1,
Unified Team,310,165,475,1992,2,
Germany,300,163,463,1992,3,
Spain,297,125,422,1992,4,
Great Britain,229,142,371,1992,5,
France,241,98,339,1992,6,
Italy,228,76,304,1992,7,
Canada,179,116,295,1992,8,
Australia,187,92,279,1992,9,
Japan,175,81,256,1992,10,
People's Republic of China,117,127,244,1992,11,
Republic of Korea,154,72,226,1992,12,
Hungary,159,58,217,1992,13,
Czechoslovakia,146,62,208,1992,14,
Netherlands,117,84,201,1992,15,
Poland,149,52,201,1992,16,
Sweden,143,44,187,1992,17,
Brazil,132,50,182,1992,18,
Cuba,126,50,176,1992,19,
Romania,105,68,173,1992,20,
Bulgaria,87,51,138,1992,21,
New Zealand,92,42,134,1992,22,
Denmark,77,33,110,1992,23,
Mexico,76,26,102,1992,24,
Austria,71,31,102,1992,25,
Switzerland,73,29,102,1992,26,
South Africa,68,25,93,1992,27,
Portugal,68,22,90,1992,28,
Finland,60,28,88,1992,29,
Argentina,67,17,84,1992,30,
Norway,51,32,83,1992,31,
Egypt,72,3,75,1992,32,
Puerto Rico,65,6,71,1992,33,
Greece,56,14,70,1992,34,
Belgium,43,25,68,1992,35,
Democratic People's Republic of Korea,36,28,64,1992,36,
Ireland,49,9,58,1992,37,
Independent Olympic Participants,39,19,58,1992,38,
Nigeria,32,23,55,1992,39,
India,46,6,52,1992,40,
Colombia,46,3,49,1992,41,
Kenya,40,9,49,1992,42,
Lithuania,36,11,47,1992,43,
Thailand,23,23,46,1992,44,
Morocco,43,1,44,1992,45,
Indonesia,27,15,42,1992,46,
Turkey,36,5,41,1992,47,
Croatia,36,3,39,1992,48,
Hong Kong,28,10,38,1992,49,
Estonia,33,4,37,1992,50,
Islamic Republic of Iran,36,0,36,1992,51,
Jamaica,22,14,36,1992,52,
Slovenia,29,6,35,1992,53,
Algeria,33,2,35,1992,54,
Ghana,32,2,34,1992,55,
Latvia,25,9,34,1992,56,
Mongolia,27,6,33,1992,57,
Kuwait,32,0,32,1992,58,
Dominican Republic,30,2,32,1992,59,
Chinese Taipei,23,8,31,1992,60,
Israel,25,5,30,1992,61,
Qatar,28,0,28,1992,62,
Angola,25,3,28,1992,63,
Paraguay,24,3,27,1992,64,
Pakistan,27,0,27,1992,65,
Iceland,24,3,27,1992,66,
Philippines,24,2,26,1992,67,
Malaysia,26,0,26,1992,68,
Venezuela,22,4,26,1992,69,
United States Virgin Islands,20,5,25,1992,70,
Guam,16,6,22,1992,71,
Bermuda,14,6,20,1992,72,
Ethiopia,14,6,20,1992,73,
Senegal,18,2,20,1992,74,
Zimbabwe,10,9,19,1992,75,
Fiji,14,4,18,1992,76,
San Marino,16,1,17,1992,77,
Zaire,15,2,17,1992,78,
Barbados,16,1,17,1992,79,
Cyprus,13,4,17,1992,80,
Costa Rica,11,5,16,1992,81,
Peru,12,4,16,1992,82,
Uruguay,16,0,16,1992,83,
Central African Republic,13,2,15,1992,84,
Guatemala,12,2,14,1992,85,
Singapore,11,3,14,1992,86,
The Bahamas,12,2,14,1992,87,
Madagascar,8,5,13,1992,88,
Ecuador,6,7,13,1992,89,
Mauritius,6,7,13,1992,90,
Bolivia,8,5,13,1992,91,
Papua New Guinea,12,1,13,1992,92,
Côte d'Ivoire,8,5,13,1992,93,
Antigua and Barbuda,9,4,13,1992,94,
United Arab Emirates,13,0,13,1992,95,
Tunisia,11,2,13,1992,96,
Lebanon,12,0,12,1992,97,
Chile,9,3,12,1992,98,
Sri Lanka,5,6,11,1992,99,
Sierra Leone,9,2,11,1992,100,
Seychelles,10,1,11,1992,101,
Belize,9,1,10,1992,102,
Bahrain,10,0,10,1992,103,
Bosnia and Herzegovina,6,4,10,1992,104,
Rwanda,7,3,10,1992,105,
Honduras,7,3,10,1992,106,
Cayman Islands,10,0,10,1992,107,
Zambia,8,1,9,1992,108,
Kingdom of Saudi Arabia,9,0,9,1992,109,
United Republic of Tanzania,9,0,9,1992,110,
Andorra,7,1,8,1992,111,
Cameroon,3,5,8,1992,112,
Yemen,8,0,8,1992,113,
Uganda,6,2,8,1992,114,
Syrian Arab Republic,7,1,8,1992,115,
Iraq,8,0,8,1992,116,
Djibouti,8,0,8,1992,117,
Guinea,6,2,8,1992,118,
Nicaragua,7,1,8,1992,119,
Maldives,6,1,7,1992,120,
Haiti,7,0,7,1992,121,
Vietnam,2,5,7,1992,122,
Liechtenstein,4,3,7,1992,123,
Trinidad and Tobago,7,0,7,1992,124,
Equatorial Guinea,5,2,7,1992,125,
Albania,5,2,7,1992,126,
Congo,6,1,7,1992,127,
Luxembourg,5,1,6,1992,128,
Malta,3,3,6,1992,129,
Suriname,5,1,6,1992,130,
Sudan,6,0,6,1992,131,
Bangladesh,5,1,6,1992,132,
Benin,4,2,6,1992,133,
Bhutan,3,3,6,1992,134,
Lao People's Democratic Republic,6,0,6,1992,135,
Togo,6,0,6,1992,136,
Mauritania,6,0,6,1992,137,
Chad,5,1,6,1992,138,
Vanuatu,4,2,6,1992,139,
Namibia,5,1,6,1992,140,
Guyana,5,1,6,1992,141,
Saint Vincent and the Grenadines,4,2,6,1992,142,
Mozambique,3,3,6,1992,143,
Botswana,6,0,6,1992,144,
Swaziland,6,0,6,1992,145,
Lesotho,5,1,6,1992,146,
Gabon,4,1,5,1992,147,
Libya,5,0,5,1992,148,
Aruba,4,1,5,1992,149,
Panama,5,0,5,1992,150,
Tonga,5,0,5,1992,151,
Oman,5,0,5,1992,152,
The Gambia,5,0,5,1992,153,
Mali,3,2,5,1992,154,
Western Samoa,5,0,5,1992,155,
British Virgin Islands,4,0,4,1992,156,
El Salvador,3,1,4,1992,157,
Jordan,3,1,4,1992,158,
Burkina Faso,4,0,4,1992,159,
Grenada,3,1,4,1992,160,
Malawi,3,1,4,1992,161,
Netherlands Antilles,3,1,4,1992,162,
Myanmar,1,3,4,1992,163,
American Samoa,3,0,3,1992,164,
Niger,3,0,3,1992,165,
Cook Islands,2,0,2,1992,166,
Nepal,1,1,2,1992,167,
Monaco,1,1,2,1992,168,
Solomon Islands,1,0,1,1992,169,
United States,375,273,648,1996,1,
Germany,279,187,466,1996,2,
Australia,250,167,417,1996,3,
Russian Federation,232,158,390,1996,4,
Italy,236,104,340,1996,5,
Japan,157,149,306,1996,6,
Canada,152,151,303,1996,7,
Republic of Korea,190,113,303,1996,8,
Great Britain,184,116,300,1996,9,
France,197,102,299,1996,10,
People's Republic of China,111,183,294,1996,11,
Spain,194,95,289,1996,12,
Netherlands,137,102,239,1996,13,
Ukraine,146,85,231,1996,14,
Brazil,156,65,221,1996,15,
Hungary,147,66,213,1996,16,
Argentina,132,47,179,1996,17,
Sweden,111,66,177,1996,18,
Romania,98,67,165,1996,19,
Poland,126,39,165,1996,20,
Cuba,111,53,164,1996,21,
Belarus,91,66,157,1996,22,
Greece,87,34,121,1996,23,
